ESP,Viper-201B Baritone Bl B-Stock,£383
Gretsch,G5420T Electromatic AM B-Stock,£615
Harley Benton,Fusion-T HH Roasted FB B-Stock,£369
Ibanez,ATZ10P-STM Andy Timmon B-Stock,"£1,139"
Harley Benton,SC-450Plus CB Vintage  B-Stock,£163
Gretsch,G5422G-12 Electromatic B-Stock,£765
Ibanez,AZES40-MGR B-Stock,£254
Fender,Vintera 60s Jaguar Mod B-Stock,£866
Harley Benton,SC-450Plus HB Vintage  B-Stock,£146
Harley Benton,MR-Modern PWH B-Stock,£220
Harley Benton,ST-25TH Firemist B-Stock,£225
Ibanez,Q54-SFM B-Stock,£795
Ibanez,RG652AHMFX-NGB B-Stock,"£1,190"
Ibanez,AM93ME-NT B-Stock,£575
ESP,LTD TE-200 Maple STBC B-Stock,£341
Traveler Guitar,EG-1 Custom V2 Gloss B B-Stock,£555
Harley Benton,R-446 Blood Metallic B-Stock,£131
Ibanez,SEW761FM-NTF B-Stock,£642
Harley Benton,RG-Junior BK LH B-Stock,£61
Harley Benton,TE-90FLT SB Deluxe Ser B-Stock,£146
Ibanez,GRG140-WH B-Stock,£204
Gretsch,G5422TG Electromatic W B-Stock,£777
Harley Benton,ST-Mini BK B-Stock,£59
Ibanez,RGD71ALPA-CKF B-Stock,"£1,069"
Harley Benton,ST-Travel Candy Apple  B-Stock,£64
Ibanez,GRG131DX-BKF B-Stock,£191
Yamaha,Pacifica 120H TBSB B-Stock,£245
Epiphone,Riviera Royal Tan B-Stock,£455
Guild,Starfire I Jet 90 Sati B-Stock,£375
Harley Benton,ST-62LH BK Vintage B-Stock,£123
Yamaha,Pacifica 612V II X MSB B-Stock,£666
Gretsch,G2622 SBS Streamliner B-Stock,£355
Fender,Player Plus Strat HSS  B-Stock,£759
Godin,Radiator Bourbon Burst B-Stock,£655
Larry Carlton,S7 Vintage 3TS B-Stock,£453
Harley Benton,MB-20BK Rock Series B-Stock,£98
Ibanez,RG320EXZ-BKF B-Stock,£419
Sterling by Music Man,SR50 Stingray Firemist B-Stock,£689
Harley Benton,Electric Guitar Kit T- B-Stock,£72
Harley Benton,ST-20MN LH CA B-Stock,£66
Fender,Mustang Firemist Gold B-Stock,£529
ESP,LTD EC-1000T CTM FM VS B-Stock,"£1,279"
Cort,G260SE Open Pore Natur B-Stock,£325
Ibanez,RG421HPAH-BWB B-Stock,£683
Ibanez,AZ42P1-BK B-Stock,"£1,098"
Schecter,Aaron Marshall AM-6 AJ B-Stock,"£1,325"
Fender,Player Series Strat HS B-Stock,£599
Legator,N7FP Iris Fade B-Stock,£818
ESP,LTD SN-200HT CHMS B-Stock,£359
BC Rich,Shredzilla Pro Archtop B-Stock,£999
Squier,FSR Affinity Series Te B-Stock,£206
Harley Benton,Fusion-III 25th Firem B-Stock,£366
Jackson,RRX24M White w/Black P B-Stock,£583
Harley Benton,SC-550LH II Gotoh AFB B-Stock,£284
Fender,LTD Hybrid II Stratoca B-Stock,"£1,059"
Ibanez,IJRX20-BKN Jumpstart S B-Stock,£256
ESP,LTD EC-1000 QM STPSB B-Stock,"£1,069"
Squier,Contemp Strat Special  B-Stock,£321
Cort,G 250 Champaign Gold B-Stock,£185
ESP,LTD SN-1000FR Snow Whi B-Stock,"£1,159"
Epiphone,Jerry Cantrell Prophec B-Stock,£811
Schecter,E-1 Apocalypse Red Rei B-Stock,"£1,190"
PRS,S2 Vela Satin SH CS B-Stock,"£1,350"
Vox,Mark III Mini Teardrop B-Stock,£183
Ibanez,GRGM21-BLT B-Stock,£175
Charvel,Jim Root Pro Mod SD1 H B-Stock,"£1,069"
Schecter,PT Pro Trans Blue Burs B-Stock,£699
Jackson,SoCal Misha Mansoor 2P B-Stock,"£1,769"
Mooer,GTRS Guitars Prof. 800 B-Stock,£719
Schecter,Omen Extreme 6 BCH B-Stock,£533
ESP,LTD M-7BHT Baritone Ar B-Stock,£935
Schecter,Rob Scallon C-7 SDR B-Stock,"£1,248"
Mooer,GTRS Guitars Wing 800  B-Stock,£848
Traveler Guitar,Travelcaster Deluxe B-Stock,£266
Harley Benton,Fusion-III 25th LH Fi B-Stock,£366
Gretsch,G2420T RB Streamliner B-Stock,£439
Fender,AM Pro II Tele OWT B-Stock,"£1,485"
Squier,Contemp Strat Speci B-Stock,£299
Solar Guitars,V 1.7 FBB B-Stock,£979
Schecter,Avenger Blackjack GB B-Stock,"£1,149"
G&L,Tribute Asat Special B B-Stock,£498
Harley Benton,JA-25TH Firemist B-Stock,£234
Gibson,ES-339 Trans Ebony B-Stock,"£2,299"
DAngelico,DLX Atlantic Baritone  B-Stock,"£1,239"
Charvel,Pro Mod San Dimas HH M B-Stock,£739
Solar Guitars,E2.6LB Lime Burst Matt B-Stock,£719
Traveler Guitar,Speedster Deluxe Carre B-Stock,£462
Duesenberg,Senior BK B-Stock,"£1,777"
Fender,AM Pro II Tele DLX MN  B-Stock,"£1,499"
Sterling by Music Man,Cutlass CT50HSS Pueblo B-Stock,£658
Jackson,American Series Solois B-Stock,"£1,966"
Ibanez,PSM10-BKPaul Stanley S B-Stock,£281
Harley Benton,Fusion-T 25th LH Firem B-Stock,£366
Chapman Guitars,ML1 X Deep Red Gloss B-Stock,£444
ESP,LTD M-7BHT Baritone Ar B-Stock,"£1,025"
Ibanez,RG421PB-SBF B-Stock,£311
Guild,Starfire I DC Pelham B-Stock,£433
Schecter,C-6 Plus OBB B-Stock,£382
Ibanez,PGMM11-JB B-Stock,£188
DAngelico,Excel DC XT Iced Tea Q B-Stock,"£1,350"
Schecter,BälSäc E-1 FR BOC B-Stock,"£1,179"
Mooer,GTRS Guitars Standard  B-Stock,£428
Jackson,X Series Soloist SLX D B-Stock,£609
Gretsch,G2622LH Strml. DC CB G B-Stock,£409
Schecter,Apocalypse Avenger FR  B-Stock,"£1,499"
Solar Guitars,E1.6 Jensen MKII Red B B-Stock,"£1,250"
Epiphone,Les Paul Classic Worn  B-Stock,£366
Kramer Guitars,Jersey Star AW B-Stock,£799
Schecter,C-1 SLS Elite LH BFB B-Stock,"£1,325"
ESP,LTD MH-1000 Barit. Bla B-Stock,"£1,069"
Chapman Guitars,ML3 Pro Trad Liquid Te B-Stock,£825
Chapman Guitars,ML2 Buttercream Satin B-Stock,£579
Gretsch,G5230T-140 Electromati B-Stock,£513
Fender,AM Ultra Strat MN TXT  B-Stock,"£1,890"
Kramer Guitars,Pacer Classic BK B-Stock,£267
